"Tier","Subsystem","ShortSha","Date","Author","Subject","FullSha"
"4","AI & Movement","e65e48e3c","2026-08-03","NickTyrer","Fix Door Not Closing (#3512)","e65e48e3c506e745b74f4706389570d897dd6a9a"
"4","AI & Movement","2d0928bd9","2026-08-03","Daribon","Fix Obsidian Destroyer's Drain Mana. (#3518)","2d0928bd9cd86c795781f59d2bcd7f61a06cac9a"
"5","General Systems","4fdf2f773","2026-08-03","Daribon","Fix Moam mana at spawn. (#3517)","4fdf2f7736007981da652d4389007dd67da0cf0d"
"2","Combat & Spells","91c920d40","2026-07-31","Gamemechanic","Fix swapped arguments in Unit::ApplySpellImmune (#3516)","91c920d402ff1d4f99cb8292e5a9ed86715309f9"
"4","AI & Movement","db7450c6e","2026-07-29","schell244","Fix Nature's Grasp talent getting unlearned upon training rank 2.","db7450c6e4cc255cffa2620e5d0dd7d2f179d2d2"
"2","Combat & Spells","90793c7c6","2026-07-26","Richard Higgins","Remove stalked-target auras from the target when the caster dies (#3499)","90793c7c6c4b6104ab56097192a1f6b1c79250bf"
"2","Combat & Spells","2a56e5ebb","2026-07-26","schell244","Correct position and movement of two critters.","2a56e5ebbad6854d636ab02ed7aba052f85895ec"
"1","Crashes & Security","4cb4f86ac","2026-07-26","schell244","Some more changes to Stitches script.","4cb4f86ac5e1e93ebcd5f3306ca8fef6535118b3"
"4","AI & Movement","804cf5ae3","2026-07-26","schell244","Reset position of Watcher Dodds and Paige after stiches dies.","804cf5ae36e5966ecd18f1a5fc209e036e0b947f"
"5","Core Architecture","5485f93d3","2026-07-26","Gamemechanic","Small refactors in Unit.cpp (#3510)","5485f93d30313a87cd8ccc59f9264e1d79935346"
"1","Crashes & Security","ebf2ae06f","2026-07-24","schell244","Fix spell reflection crashes before 1.6.","ebf2ae06fdf70a1a774b0338aba9ecc5b55b3802"
"2","Combat & Spells","dbe65d3ec","2026-07-24","schell244","Fix spell miss info for 1.5 client.","dbe65d3ec1597bd218268d9fc97cb9e290dc3363"
"2","Combat & Spells","3e75e00fe","2026-07-23","Nishad","Send melee attack state before doing the damage (#3505)","3e75e00fe5aa8683ee7b3067a1e6bf257b248b3e"
"2","Combat & Spells","11837a71c","2026-07-23","Spit","Clear emote state from creatures on entering combat. (#3507)","11837a71cc221d37cab28e1d4de3d4080cb662eb"
"2","Combat & Spells","ca760e76f","2026-07-21","schell244","Send SMSG_ATTACKERSTATEUPDATE when casting on next melee spells.","ca760e76f0bba21f63d05a4adf36e95eba0f26b3"
"4","AI & Movement","d6ed90d82","2026-07-21","schell244","Pet family was assigned to Son of Hakkar and Soulflayer in 1.8.","d6ed90d82cc70cf933ef186af78e4ee1cb847eaf"
"1","Crashes & Security","49960c45e","2026-07-21","schell244","More changes to ogre models.","49960c45e5d52fcd80732f5924dceaece040fcc2"
"4","AI & Movement","6961c0f2a","2026-07-21","schell244","Correct creature data based on 1.2 wdb files.","6961c0f2abaa9671632ed0991f0fc01ac2cc99e4"
"5","Encounters & World","80d3b7bee","2026-07-20","Simp-N","Prevent pickpocketing humanoids and undead with no pickpocket loot (#2729)","80d3b7beeb0e3cba02d02ec9f09f806a247d12d3"
"4","AI & Movement","8f6018a01","2026-07-20","Richard Higgins","Share vendor item visibility between list and purchase paths (#3502)","8f6018a01dbe1b7e972955bd72e88acf00b02c16"
"4","AI & Movement","9e006e0ce","2026-07-20","Richard Higgins","Delay Mograine's death so Forgiveness visual displays properly (#3503)","9e006e0ce668934d9740b99da3823f02ec16524f"
"3","Bounds & Exploits","6f9d86f66","2026-07-19","Richard Higgins","Clamp auction time left to the client's signed 32-bit millisecond range (#3497)","6f9d86f6660b7f79dc9d2780df237b350f48c99c"
"3","Bounds & Exploits","af30a92a9","2026-07-19","Richard Higgins","Validate the master looter GUID in CMSG_LOOT_METHOD (#3500)","af30a92a9c218f0d50917e5eac5d00d6cebad442"
"3","Bounds & Exploits","8bfe3c483","2026-07-19","Richard Higgins","Accept the stock 1,000,000 random roll upper bound (#3498)","8bfe3c4835335e15e44d770eaa3826473671adc6"
"1","Crashes & Security","12c737967","2026-07-19","Richard Higgins","Allow multiple Nefarius's Corruption accepters per scepter run (#3504)","12c73796774a1e2d4f366fbcc950b0a95e134151"
"5","Encounters & World","1468bbe02","2026-07-19","Gamemechanic","Fix output for loading instance custom encounters. (#3496)","1468bbe0209f444a307c22d4700866c105183df6"
"1","Crashes & Security","5f356a98f","2026-07-18","schell244","Type of forsaken npcs changed from undead to humanoid in 1.5.","5f356a98ffa8a6fb9ae8467d215b29db33492a43"
"2","Combat & Spells","46d789256","2026-07-17","Gamemechanic","GetHeightStatic: Add a delta to Z before choosing vmap height over map height (#3487)","46d78925688bb68ddd2ce9ed64d971a703d5598c"
"4","AI & Movement","d2a9e2c6d","2026-07-17","Daribon","Fix stabling for dismissed and dead pets. (#3488)","d2a9e2c6d0c0171c94ca2d8197b55f72dd13b2e3"
"5","Core Architecture","e3fff0aef","2026-07-17","Wall","Remove offline players from BG queue (#3489)","e3fff0aefbf4746943304f5e8d1681f2caf9dd93"
"5","General Systems","b57309a3d","2026-07-13","schell244","Fix target of target missing after create update","b57309a3df48050f85334429d5c16768a8157ebe"
"4","AI & Movement","a6755e42a","2026-07-13","schell244","Fix lost wakeup race in WorldSocket send queue","a6755e42acb88608294eb044b59249049b000039"
"2","Combat & Spells","ce5a1a267","2026-07-11","schell244","Add missing rates for crit and dodge.","ce5a1a2678907ced2ad2bc664c2295b8039fe047"
"5","General Systems","d8a163621","2026-07-11","schell244","Fix dodge per agility rates.","d8a16362104d992436a4dbeca9734631c04e6f01"
"2","Combat & Spells","b54bbd030","2026-07-11","schell244","Add packet class for melee attacking state update.","b54bbd03073239abff71f3e4fbd18c61acfb1024"
"2","Combat & Spells","9e797df89","2026-07-11","schell244","Fix melee damage packet before 1.6.","9e797df894145908018a6941112d28cf7b08cb62"
"5","Core Architecture","f13dfcb5f","2026-07-10","Stoabrogga","Add new option for map extractor (#3480)","f13dfcb5f694d594f84f24fdc1a5674d500e2f65"
"4","AI & Movement","1cf3d4622","2026-07-10","Spit","Fix trainer type for trainers that only have recipes (#3481)","1cf3d462217bd4322c9784376ca08c76bfd8ae71"
"5","Core Architecture","f67d54409","2026-07-08","Michael Serajnik","Fix mmap generator aborting with the default configuration. (#3479)","f67d5440903a668c63c8a4959d7bb8df4511c3dc"
"5","General Systems","66b158405","2026-07-08","schell244","Fix opening gurubashi chest before 1.7.","66b158405593852880469c69084e63b58616f51d"
"5","Encounters & World","b974755c0","2026-07-08","Spit","Fix empty loot after group loot roll ends (#3476)","b974755c0f92ab59c1fa6803db534834797d1504"
"4","AI & Movement","16251fe28","2026-07-08","schell244","Improve map extraction tools and fix navmesh generation bugs (#3473)","16251fe28bacb42711d95d9b96f0edceb66cbe83"
"5","General Systems","467fc53f6","2026-07-04","schell244","Fix Mana Shield before patch 1.12.","467fc53f6d8e48a0380b8a2734e66cc7f71e9dd8"
"2","Combat & Spells","2c8df6bb4","2026-07-04","schell244","Fix crit per agility rates.","2c8df6bb446844c929863d4b40d08a0ff69d2275"
"4","AI & Movement","bae871a66","2026-07-03","schell244","Individual raid instance reset timers before patch 1.9","bae871a66e3b450ebccb28f772a71e5c37084e80"
"5","Encounters & World","37ba9a343","2026-04-17","schell244","Fix DungeonReset false-positive ERRORs at startup","37ba9a34315d9ffb79ee0e985d46b1d01149a83c"
"4","AI & Movement","9597c399b","2026-06-25","schell244","Remove orphaned closed-door collision check helpers","9597c399bc6f2bb1f47de01a085301a15b43973d"
"4","AI & Movement","5d92ec02a","2026-07-03","Gamemechanic","Improve dynamic tree for movement (#3463)","5d92ec02a1a540c439d2c4afe22c85a20095948c"
"5","General Systems","ee963a63a","2026-06-29","NickTyrer","Fix DB Errors (#3470)","ee963a63a18562aaf77e8b740927d1447b273b35"
"5","Encounters & World","b0c82f425","2026-06-29","schell244","Delete many unused gameobjects.","b0c82f425668c39855a29c3a6fbcf5721d643a0f"
"5","General Systems","b3b6cbaa1","2026-06-29","schell244","Revert ""Implement Volume Caching (#3447)""","b3b6cbaa166d81400384e3cf3f1fd760b0fc03ba"
"5","General Systems","cd6004c73","2026-06-29","schell244","Revert ""Add missing header files (#3452)""","cd6004c73c738fb2ef0de3eda36fa4314704e332"
"5","General Systems","dc3efdcff","2026-06-28","NickTyrer","Misc DB Fixes (#3175)","dc3efdcffd632b37761c09dd67169e649bd58b5f"
"4","AI & Movement","d73066b4f","2026-06-23","NickTyrer","Respawn Wretched Lost One (credit cmangos) (#3437)","d73066b4f2ad7e1a6e225f06164ed3467d6456d1"
"5","Encounters & World","679c49521","2026-06-21","schell244","Correct gameobject data based on 1.2 wdb files.","679c495216e8eebc8543e9f5dadf9694b8827db8"
"4","AI & Movement","165377484","2026-06-12","Daribon","Correct Revive Pet and Call Pet behavior. (#3456)","165377484bc8bce71cba5d513c6a81cf9f792493"
"4","AI & Movement","f660ba09f","2026-06-12","schell244","Fix Eyes of the Beast cast visual on pet.","f660ba09f7466bb2862390ee021d938ef2685724"
"5","Encounters & World","8939ce4f2","2026-06-09","Michael Serajnik","Build transport gameobject models in mmap_extract.py. (#3449)","8939ce4f29f3a18335e51fe5415fbb5e4aec8fb9"
"2","Combat & Spells","05d516709","2026-06-09","schell244","Store spells on pet bar while charmed in separate table. (#3453)","05d516709f189e276a38c3783d3da8379c6308f0"
"4","AI & Movement","6b34a36dc","2026-05-31","MantisLord","Aurora Skycaller + fishing trainer gossip fix (#3446)","6b34a36dc8a188e9407283bc93cad67fc2e4b2e8"
"2","Combat & Spells","5d67ee574","2026-05-29","Michael Serajnik","Fix wand hit calculation to use the Wands skill. (#3439)","5d67ee5748188c87a056a56caf50eed100dfa677"
"5","General Systems","d41b70fb6","2026-05-29","Daribon","Correct old spawn position for 3 NPCs. (#3433)","d41b70fb6a71232665e4b5e37d5b56979b93ef94"
"5","General Systems","bf57d4f2c","2026-05-27","ratkosrb","Fix startup errors when max level is set below 60.","bf57d4f2cfb0f2378c3fc2df7f92d400aaef7485"
"4","AI & Movement","d0808ba41","2026-05-26","NickTyrer","Add Ashenvale Creature Waypoints (credit cmangos) (#3379)","d0808ba4159c3b834a46894754a0245689ab8590"
"5","Encounters & World","d41221931","2026-05-26","roowow","Prevent Twin Emperors from respawning. (#3428)","d412219313183ac917bdfd3af9fd06ec714c9e46"
"5","General Systems","e006bc36d","2026-05-25","ratkosrb","Fixes for Raging Moonkin.","e006bc36db98f8f5da31ab892bc4d60dff45004e"
"3","Bounds & Exploits","cd3605e53","2026-05-25","Gamemechanic","Fall back to distance to center check in interaction distance check if no bounds defined (#3425)","cd3605e53971936980103a80adaf1b773b91c137"
"4","AI & Movement","c02ddcffa","2026-05-25","ratkosrb","Fixes for Blink.","c02ddcffacd791ee0e847fa8a91b43197dc14f52"
"5","General Systems","86197e510","2026-05-25","Daribon","Fix max patch on old chest. (#3424)","86197e51031552cf5199dbfbac14a5f3be166320"
"5","Encounters & World","4eda3fe98","2026-05-24","Ellington Santos","Add missing quest greeting for Blind Mary (#3421)","4eda3fe98ac777e2a2c268cc5091c8f3677e9a05"
"5","General Systems","c37c4be56","2026-05-24","Daribon","Fix misc early patch NPCs and objects. (#3419)","c37c4be565cf05deffb52bcc7ade0806991c9547"
"2","Combat & Spells","2add4aa2e","2026-05-23","ratkosrb","Fix pet cooldowns not being saved and sent properly.","2add4aa2ecd88bcc3723653cd2bbfb5d385d6a57"
"2","Combat & Spells","4ee66d9e1","2026-05-23","_BLU","Add packet classes for spell packets. (#3414)","4ee66d9e11fd2bf193eab7a18940f116d0ba473f"
"5","General Systems","98419f0e8","2026-05-22","ratkosrb","Fix swapping non empty bags.","98419f0e834026fc556f18ee40254e5801997e43"
"5","General Systems","10c97613e","2026-05-22","_BLU","Update G3DLite (#3410)","10c97613e4d658c8efb1b058d91d4a0d0b17d20d"
"5","General Systems","6966e93a2","2026-05-22","ratkosrb","Fixes for mingw32.","6966e93a2ca5772f9e22f9e4aeea48aa7fad89ea"
"5","General Systems","ef0b5bcb5","2026-05-20","ratkosrb","Fix usage of IsDead field in AttackStop.","ef0b5bcb59b9ac844d2999d8bb93a64b78fe5dcd"
"5","General Systems","b6449c4f3","2026-05-20","jianggn","Fix pdump loading.","b6449c4f3158b57e9885ecce71b5a0913d0ee16f"
"4","AI & Movement","2c26d7450","2026-05-20","ratkosrb","Fix cases of creature spawn too far from first waypoint.","2c26d74508056ea6aa5eef1ae9e3661edffa1bfc"
"5","Encounters & World","6a04483b0","2026-05-19","ratkosrb","Simpler partybot loot fix.","6a04483b08277268d7e68f55bbbe740d291a48d6"
"5","Core Architecture","c20931e06","2026-05-18","_BLU","Refactor Unit related ServerPackets (#3406)","c20931e064b11258db5d9d0c207365fed623f4ef"
"4","AI & Movement","0c09dae58","2026-05-18","ratkosrb","Fix order of waypoints for Mountaineer Kalmir.","0c09dae58af96b837cd2cb2375651ed5cffa3ba6"
"5","General Systems","9d5cd3ddc","2026-05-18","_BLU","Fixes some warnings. (#3413)","9d5cd3ddc54c3724ee2d46271802d71b97a85eb5"
"5","Encounters & World","7a83b34d0","2026-05-17","_BLU","Fix always false expression in gluth script (#3411)","7a83b34d051797f4ba9be7317c7540024a8f3b98"
"5","General Systems","c3919aa8e","2026-05-14","Michael Serajnik","Fix Imp Fire Shield owner targeting while grouped. (#3329)","c3919aa8e80e7173fceef3f3163a6e2adb4f878d"
"4","AI & Movement","d632d2ad8","2026-05-14","Wall","Remove walk mode on confused movement end (#3401)","d632d2ad8e14ee24d44cf4c9981de0cea18a66b3"
"5","Encounters & World","16cb8a669","2026-05-14","ratkosrb","Make partybots loot nearby corpses.","16cb8a669ff873730a6fecad9c39cf3a7dc2d745"
"5","General Systems","f0bbcbf59","2026-05-14","ratkosrb","Fix migration error.","f0bbcbf59264d1ca5f3e2fba2cf4a9121f67f71f"
"1","Crashes & Security","015a11058","2026-05-14","ratkosrb","Changes to spell_threat table.","015a110587196e20022e91cb5da41f882c608960"
"1","Crashes & Security","c68b36813","2026-05-14","ratkosrb","Fix wrong logic change in remove cooldown script command.","c68b368131191572ff5e8941eaf280c912c814f4"
"2","Combat & Spells","e9a7ba69b","2026-05-12","_BLU","Use SpellEntry pointer instead of reference in cooldown manager (#3405)","e9a7ba69ba8b4ed6b06bc9790260c6338c6b87e5"
"5","General Systems","5286a14b0","2026-05-06","0blu","fix build","5286a14b00ede91f650bb6b0cd585b29ae79552d"
"5","General Systems","19b90306c","2026-05-06","_BLU","Enable all warnings. Mark them as error. Hide unfixed errors. (#3391)","19b90306cd4caa8d5813e879538cfc89ce1a4544"
"5","Encounters & World","e4cd7efe2","2026-05-06","ratkosrb","Add distance check when looting corpse.","e4cd7efe21bb994d75ed5683427e7ed7e1aade18"
"5","General Systems","3189b3ad9","2026-05-05","ratkosrb","Fix build error.","3189b3ad9a6847b9be9d7067dfcab1d1e67298e1"
"5","Encounters & World","8d98375e1","2026-05-05","ratkosrb","Add conditions to Eva Sarkhoff gossip and quest.","8d98375e135b95526a45a863ee1385dcaa2adb96"
"5","Core Architecture","59cf5cc3b","2026-05-02","Gamemechanic","Fix GetRandomPoint for flying units (#3390)","59cf5cc3b7de88a87dccc272a1dee9e9276b1f92"
"5","General Systems","29f5d0df7","2026-05-01","_BLU","Enable strict checks of char const* (#3386)","29f5d0df78d0723f88f92e6484b03eae193c574e"
"5","General Systems","454afdc0b","2026-04-29","_BLU","Update utf8cpp (#3383)","454afdc0b4325bc7815c3c9531f5c7e6633217b2"
"4","AI & Movement","20fd7fdca","2026-04-29","ratkosrb","Grey quests should not give less reputation loss.","20fd7fdca91ab901a3012f0fb7298aaa61ae83c2"
"1","Crashes & Security","e876cbab3","2026-04-27","schell244","Harden realmd against crashes and password brute force attempts (#3377)","e876cbab39436d734f531c72fd85ae1850f9c147"
"4","AI & Movement","3fb7d6295","2026-04-24","Wall","Fix Intimidating Shout skipping the main target. (#3378)","3fb7d6295c12a3ee23a14edbff33e3648c997666"
"5","General Systems","78113d8a7","2026-04-23","ratkosrb","Fix case where nodiscard does not exist.","78113d8a7a07514e537cafd0f1af88edd33b0afe"
"5","General Systems","164622a36","2026-04-22","GrenderG","Proper fix for CMake 3.13 (#3376)","164622a36bb777fe7ff0a4d01be9258c9de7a722"
"1","Crashes & Security","6da41d495","2026-04-22","schell244","Reject oversized auth packets to prevent heap buffer overflow (#3374)","6da41d49503403693913f22d6ff98367ccb36c60"
"4","AI & Movement","6bd4a6785","2026-04-20","NickTyrer","Add Tanaris Creature Waypoints (#3369)","6bd4a6785312be5b3fb8e4a83137a42ebd1b7dad"
"5","General Systems","ff16e3e65","2026-04-19","Stoabrogga","Support cmake versions before 3.14 (#3372)","ff16e3e65b98cd8a0d12424c2066023e4a2abccf"
"5","General Systems","767c09d53","2026-04-19","ratkosrb","Fix some signed unsigned mismatch warnings.","767c09d5355a7fda6dafff4f638758743cd07567"
"3","Bounds & Exploits","401af7c4a","2026-04-19","ratkosrb","Do not invalidate quest template pointers on reload.","401af7c4a7c6fa81d29694f7332e958ad43f1592"
"5","General Systems","e93ebf8f1","2026-04-19","GrenderG","Fix Linux build. (#3370)","e93ebf8f11965a8ea6c824ef03a82c678de6c335"
"5","Encounters & World","2464ce252","2026-04-17","_BLU","Refactor GMTICKET, GUILD and QUEST related packet to ServerPacket (#3368)","2464ce252712e81c56b78c8804bd705aac87bb0b"
"4","AI & Movement","fd26ff8bb","2026-04-17","ratkosrb","Fix 1.4.2 build and remove fake runmode spline flag.","fd26ff8bbb2307de33646c7784b65d88b5b16f29"
"4","AI & Movement","5ff65dcc5","2026-04-16","ratkosrb","Fix broken movement packet timestamps.","5ff65dcc5445130edcda1931b817417f82c5afcb"
"4","AI & Movement","c1efa4796","2026-04-16","ratkosrb","Reputation loss from kills is not affected by level difference.","c1efa4796f156ddcd361b324627367f812d82112"
"2","Combat & Spells","3e7f52230","2026-04-16","ratkosrb","Use correct spells for quest The Stones That Bind Us.","3e7f52230b36ab83ef1d7713d11e346fcacffd7c"
"5","General Systems","824c23a23","2026-04-12","NickTyrer","Update Azshara Pool Naming Schema (#3358)","824c23a2349af8a188ef7d46a6eee30f5e809b8d"
"4","AI & Movement","aa7669665","2026-04-11","Michael Serajnik","CI: Use service container for MySQL. (#3356)","aa766966548add8405b9b29169ab78e781e00d9d"
"5","General Systems","26c61f2bd","2026-04-11","NickTyrer","Update WPL Pool Naming Schema (#3357)","26c61f2bdee0208ebc8cda36e07df7eaa5af3968"
