"ShortSha","Date","Status","Crucial","Category","Author","Subject","FullSha"
"dc3efdcff","2026-06-28","PENDING","YES","General Systems","NickTyrer","Misc DB Fixes (#3175)","dc3efdcffd632b37761c09dd67169e649bd58b5f"
"d253ce0f3","2026-06-23","PENDING","NO","General Systems","NickTyrer","Respawn Tunnel Rat Geomancer (credit cmangos) (#3448)","d253ce0f39a3d8aa9553e9442329abfcd05652f0"
"40b32394c","2026-06-23","PENDING","NO","General Systems","NickTyrer","Respawn Thousand Needles Galac Camps (credit cmangos) (#3438)","40b32394c66fe1d3556137a2341ba1c2f9c90df2"
"d73066b4f","2026-06-23","PENDING","YES","AI & Movement","NickTyrer","Respawn Wretched Lost One (credit cmangos) (#3437)","d73066b4f2ad7e1a6e225f06164ed3467d6456d1"
"0175eaafa","2026-06-23","PENDING","NO","General Systems","NickTyrer","Respawn Dreadmaul Mauler (credit cmangos) (#3436)","0175eaafaefc30c72f3102e46e459f1cd9fe1a1c"
"b5f81f688","2026-06-23","PENDING","NO","General Systems","NickTyrer","Respawn Shadowsworn Enforcer (credit cmangos) (#3435)","b5f81f6881c9190525df9ffa236124ec68fb8f53"
"584a50abe","2026-06-23","PENDING","NO","General Systems","NickTyrer","Respawn Shadowsworn Cultist (credit cmangos) (#3434)","584a50abeace4917ed78861682df8869bbe2fb65"
"679c49521","2026-06-21","PENDING","YES","Encounters & World","schell244","Correct gameobject data based on 1.2 wdb files.","679c495216e8eebc8543e9f5dadf9694b8827db8"
"1744f5575","2026-06-21","PENDING","YES","Encounters & World","schell244","Correct gameobject data based on 1.7 wdb files.","1744f5575da02c699c5d0e137cddef4e44a54923"
"9af1aa706","2026-06-19","PENDING","YES","Encounters & World","schell244","Correct gameobject data based on 1.8 wdb files.","9af1aa706a13c0b14136cc3a415351a7d89c0b9d"
"00133706b","2026-06-17","PENDING","YES","Encounters & World","schell244","Correct gameobject data based on 1.9 wdb files.","00133706b308f5ceb0171c96830703fe2164c078"
"6fb84e53d","2026-06-17","PENDING","YES","Encounters & World","schell244","Correct gameobject data based on 1.10 wdb files.","6fb84e53d7e9da9ecbda3a2caefa7476b16143df"
"b63c62ff9","2026-06-17","PENDING","YES","Encounters & World","schell244","Correct gameobject data based on 1.11 wdb files.","b63c62ff91950890b0692e3fe947b8fa3c99df62"
